,Population,Area,Landuse,flood,destruction
0,251000,4277.0,0,4,0
1,372000,3983.0,1,4,2
2,268000,3432.0,1,2,0
3,1028569,2702.0,1,4,1
4,96000,2538.0,0,4,0
5,251000,4277.0,0,4,0
6,372000,3983.0,1,4,2
7,268000,3432.0,1,1,0
8,1028569,2702.0,1,1,1
9,96000,2538.0,0,4,0
10,251000,4277.0,0,0,0
11,372000,3983.0,1,2,2
12,268000,3432.0,1,4,0
13,1028569,2702.0,1,3,1
14,96000,2538.0,0,0,0
15,251000,4277.0,0,4,0
16,372000,3983.0,1,2,2
17,268000,3432.0,1,0,0
18,1028569,2702.0,1,1,1
19,96000,2538.0,0,1,0
20,251000,4277.0,0,4,0
21,372000,3983.0,1,4,2
22,268000,3432.0,1,2,0
23,1028569,2702.0,1,4,1
24,96000,2538.0,0,1,0
25,251000,4277.0,0,1,0
26,372000,3983.0,1,2,2
27,268000,3432.0,1,4,0
28,1028569,2702.0,1,4,1
29,96000,2538.0,0,3,0
30,251000,4277.0,0,1,0
31,372000,3983.0,1,4,2
32,268000,3432.0,1,4,0
33,1028569,2702.0,1,4,1
34,96000,2538.0,0,1,0
35,251000,4277.0,0,4,0
36,372000,3983.0,1,2,2
37,268000,3432.0,1,4,0
38,1028569,2702.0,1,0,1
39,96000,2538.0,0,4,0
40,251000,4277.0,0,0,0
41,372000,3983.0,1,3,2
42,268000,3432.0,1,4,0
43,1028569,2702.0,1,2,1
44,96000,2538.0,0,4,0
45,251000,4277.0,0,4,0
46,372000,3983.0,1,0,2
47,268000,3432.0,1,1,0
48,1028569,2702.0,1,3,1
49,96000,2538.0,0,1,0
50,251000,4277.0,0,0,0
51,372000,3983.0,1,4,2
52,268000,3432.0,1,1,0
53,1028569,2702.0,1,2,1
54,96000,2538.0,0,4,0
55,251000,4277.0,0,1,0
56,372000,3983.0,1,1,2
57,268000,3432.0,1,2,0
58,1028569,2702.0,1,4,1
59,96000,2538.0,0,1,0
60,251000,4277.0,0,4,0
61,372000,3983.0,1,4,2
62,268000,3432.0,1,0,0
63,1028569,2702.0,1,3,1
64,96000,2538.0,0,4,0
65,251000,4277.0,0,4,0
66,372000,3983.0,1,1,2
67,268000,3432.0,1,1,0
68,1028569,2702.0,1,4,1
69,96000,2538.0,0,0,0
70,251000,4277.0,0,4,0
71,372000,3983.0,1,4,2
72,268000,3432.0,1,4,0
73,1028569,2702.0,1,1,1
74,96000,2538.0,0,1,0
75,251000,4277.0,0,1,0
76,372000,3983.0,1,3,2
77,268000,3432.0,1,1,0
78,1028569,2702.0,1,4,1
79,96000,2538.0,0,1,0
80,251000,4277.0,0,1,0
81,372000,3983.0,1,4,2
82,268000,3432.0,1,1,0
83,1028569,2702.0,1,2,1
84,96000,2538.0,0,3,0
85,251000,4277.0,0,4,0
86,372000,3983.0,1,0,2
87,268000,3432.0,1,3,0
88,1028569,2702.0,1,4,1
89,96000,2538.0,0,1,0
90,251000,4277.0,0,0,0
91,372000,3983.0,1,4,2
92,268000,3432.0,1,3,0
93,1028569,2702.0,1,3,1
94,96000,2538.0,0,4,0
95,251000,4277.0,0,4,0
96,372000,3983.0,1,4,2
97,268000,3432.0,1,2,0
98,1028569,2702.0,1,4,1
99,96000,2538.0,0,4,0
100,251000,4277.0,0,4,0
101,372000,3983.0,1,0,2
102,268000,3432.0,1,3,0
103,1028569,2702.0,1,0,1
104,96000,2538.0,0,1,0
105,251000,4277.0,0,4,0
106,372000,3983.0,1,0,2
107,268000,3432.0,1,4,0
108,1028569,2702.0,1,4,1
109,96000,2538.0,0,1,0
110,251000,4277.0,0,4,0
111,372000,3983.0,1,0,2
112,268000,3432.0,1,4,0
113,1028569,2702.0,1,0,1
114,96000,2538.0,0,4,0
115,87695,18.14,0,1,0
116,151000,2407.0,0,4,0
117,1119000,2632.0,1,1,1
118,559000,155.4,1,0,2
119,76000,13.65,1,2,0
120,87695,18.14,0,4,0
121,151000,2407.0,0,4,0
122,1119000,2632.0,1,2,1
123,559000,155.4,1,3,2
124,76000,13.65,1,2,0
125,87695,18.14,0,0,0
126,151000,2407.0,0,1,0
127,1119000,2632.0,1,4,1
128,559000,155.4,1,3,2
129,76000,13.65,1,0,0
130,87695,18.14,0,1,0
131,151000,2407.0,0,1,0
132,1119000,2632.0,1,0,1
133,559000,155.4,1,2,2
134,76000,13.65,1,2,0
135,87695,18.14,0,4,0
136,151000,2407.0,0,4,0
137,1119000,2632.0,1,1,1
138,559000,155.4,1,2,2
139,76000,13.65,1,3,0
140,87695,18.14,0,1,0
141,151000,2407.0,0,1,0
142,1119000,2632.0,1,4,1
143,559000,155.4,1,2,2
144,76000,13.65,1,3,0
145,87695,18.14,0,1,0
146,151000,2407.0,0,1,0
147,1119000,2632.0,1,2,1
148,559000,155.4,1,2,2
149,76000,13.65,1,2,0
150,87695,18.14,0,1,0
151,151000,2407.0,0,1,0
152,1119000,2632.0,1,4,1
153,559000,155.4,1,4,2
154,76000,13.65,1,2,0
155,87695,18.14,0,4,0
156,151000,2407.0,0,1,0
157,1119000,2632.0,1,4,1
158,559000,155.4,1,2,2
159,76000,13.65,1,2,0
160,87695,18.14,0,4,0
161,151000,2407.0,0,0,0
162,1119000,2632.0,1,1,1
163,559000,155.4,1,3,2
164,76000,13.65,1,2,0
165,87695,18.14,0,1,0
166,151000,2407.0,0,4,0
167,1119000,2632.0,1,3,1
168,559000,155.4,1,2,2
169,76000,13.65,1,2,0
170,87695,18.14,0,1,0
171,151000,2407.0,0,1,0
172,1119000,2632.0,1,2,1
173,559000,155.4,1,2,2
174,76000,13.65,1,3,0
175,87695,18.14,0,1,0
176,151000,2407.0,0,1,0
177,1119000,2632.0,1,4,1
178,559000,155.4,1,3,2
179,76000,13.65,1,2,0
180,87695,18.14,0,4,0
181,151000,2407.0,0,1,0
182,1119000,2632.0,1,1,1
183,559000,155.4,1,2,2
184,76000,13.65,1,0,0
185,87695,18.14,0,1,0
186,151000,2407.0,0,1,0
187,1119000,2632.0,1,2,1
188,559000,155.4,1,2,2
189,76000,13.65,1,1,0
190,87695,18.14,0,1,0
191,151000,2407.0,0,1,0
192,1119000,2632.0,1,1,1
193,559000,155.4,1,2,2
194,76000,13.65,1,3,0
195,87695,18.14,0,1,0
196,151000,2407.0,0,4,0
197,1119000,2632.0,1,2,1
198,559000,155.4,1,1,2
199,76000,13.65,1,3,0
200,87695,18.14,0,4,0
201,151000,2407.0,0,0,0
202,1119000,2632.0,1,3,1
203,559000,155.4,1,2,2
204,76000,13.65,1,2,0
205,87695,18.14,0,4,0
206,151000,2407.0,0,4,0
207,1119000,2632.0,1,3,1
208,559000,155.4,1,2,2
209,76000,13.65,1,2,0
210,87695,18.14,0,4,0
211,151000,2407.0,0,4,0
212,1119000,2632.0,1,2,1
213,559000,155.4,1,2,2
214,76000,13.65,1,2,0
215,87695,18.14,0,1,0
216,151000,2407.0,0,0,0
217,1119000,2632.0,1,4,1
218,559000,155.4,1,0,2
219,76000,13.65,1,2,0
220,87695,18.14,0,1,0
221,151000,2407.0,0,4,0
222,1119000,2632.0,1,4,1
223,559000,155.4,1,2,2
224,76000,13.65,1,2,0
225,87695,18.14,0,4,0
226,151000,2407.0,0,4,0
227,1119000,2632.0,1,4,1
228,559000,155.4,1,0,2
229,76000,13.65,1,2,0
